Ticker,PrimarySignal,FinalScore,Pattern,ScorePass,InstitutionalPass,Events,WinRate10D,AvgReturn10D,EventPass,FinalStage,FailReasons
COST,PANIC,55.0,PANIC|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
CVX,PANIC,55.0,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
RTX,PANIC,55.0,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
XOM,PANIC,55.0,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
HDFCBANK,PANIC,55.0,MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
SAIL,PANIC,55.0,MOMENTUM|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
QQQ,MOMENTUM,48.0,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,False,True,67,65.08,0.99,True,FAILED_SCORE,Score/Signal failed
SBIN,OVERBOUGHT,18.0,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,False,True,56,56.36,0.18,True,FAILED_SCORE,Score/Signal failed
AAPL,NONE,8.0,MOMENTUM|BULL|NORMAL|BULL|VIX_ELEVATED,False,True,66,70.77,2.28,True,FAILED_SCORE,Score/Signal failed
BAC,OVERBOUGHT,18.0,OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED,False,True,37,48.57,-0.05,False,FAILED_SCORE,Score/Signal failed
YESBANK,NONE,8.0,MOMENTUM|BULL|NORMAL|BULL|VIX_ELEVATED,False,True,15,50.0,-0.91,False,FAILED_SCORE,Score/Signal failed
BEL,NONE,5.0,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,False,True,64,47.62,0.02,False,FAILED_SCORE,Score/Signal failed
TSLA,MOMENTUM,50.0,PANIC|BEAR|NORMAL|BULL|VIX_ELEVATED,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
NVDA,MOMENTUM,48.0,MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
SUZLON,MOMENTUM,48.0,PANIC|BULL|NORMAL|BULL|VIX_ELEVATED,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
AMZN,MOMENTUM,45.0,MOMENTUM|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
HD,MOMENTUM,45.0,MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
BHARTIARTL,MOMENTUM,45.0,,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
CDSL,MOMENTUM,45.0,MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
KPITTECH,MOMENTUM,45.0,,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
MSFT,OVERSOLD,30.0,OVERSOLD|BEAR|NORMAL|BULL|VIX_ELEVATED,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
RKLB,NONE,15.0,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
ICICIBANK,OVERBOUGHT,15.0,,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
ETH-USD,NONE,15.0,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
MA,NONE,10.0,,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
COCHINSHIP,NONE,10.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
IREDA,NONE,10.0,MOMENTUM|BEAR|NORMAL|BULL|VIX_ELEVATED,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
IRFC,NONE,10.0,,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
BTC-USD,NONE,10.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
GS,NONE,8.0,,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
SPY,NONE,8.0,,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
BSE,NONE,8.0,,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
IDEA,NONE,8.0,,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
LT,NONE,8.0,,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
DBC,NONE,5.0,PANIC|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
GLD,NONE,5.0,,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
USO,NONE,5.0,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
V,NONE,5.0,,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
WMT,NONE,5.0,,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
HAL,NONE,5.0,PANIC|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
NMDC,NONE,5.0,,False,False,0,0.0,0.0,False,FAILED_SCORE,Score/Signal failed
