Ticker,PrimarySignal,FinalScore,Pattern,PatternFamily,TrustLevel,ConfidenceScore,AlphaScore,SurvivalScore,Appearances,Events,WinRate10D,AvgReturn10D,FamilyScore,FamilyStrength,LiquidityStatus,MasterScore,Decision,RejectReason
ETH-USD,NONE,15.0,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,PANIC|HIGH_VOLATILITY|VOLATILE,HIGH,94.65,19.8121,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,17.95,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
GDX,PANIC,65.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,16.25,REJECT,No institutional match; Weak event validation; Weak family score; 
IRDM,PANIC,65.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,16.25,REJECT,No institutional match; Weak event validation; Weak family score; 
SLV,PANIC,65.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,16.25,REJECT,No institutional match; Weak event validation; Weak family score; 
SUZLON,NONE,8.0,PANIC|BULL|NORMAL|BULL|VIX_ELEVATED,PANIC|BULL|NORMAL,INSTITUTIONAL,95.0,2.4374,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,16.25,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
USO,NONE,5.0,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC|SIDEWAYS|VOLATILE,HIGH,94.83,0.7621,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,15.47,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
DBC,NONE,5.0,PANIC|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,PANIC|SIDEWAYS|NORMAL,HIGH,94.72,-0.5659,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,15.46,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
HAL,NONE,5.0,PANIC|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,PANIC|SIDEWAYS|NORMAL,HIGH,94.72,-0.5659,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,15.46,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
LMT,PANIC,60.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC|BEAR|VOLATILE,LOW,0.0,1.1203,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,15.0,REJECT,No institutional match; Weak event validation; Weak family score; 
MCD,PANIC,60.0,PANIC|BEAR|NORMAL|BULL|VIX_ELEVATED,PANIC|BEAR|NORMAL,LOW,0.0,-0.1226,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,15.0,REJECT,No institutional match; Weak event validation; Weak family score; 
NOC,PANIC,60.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC|BEAR|VOLATILE,LOW,0.0,1.1203,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,15.0,REJECT,No institutional match; Weak event validation; Weak family score; 
TSLA,MOMENTUM,50.0,PANIC|BEAR|NORMAL|BULL|VIX_ELEVATED,PANIC|BEAR|NORMAL,LOW,0.0,-0.1226,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,12.5,REJECT,No institutional match; Weak event validation; Weak family score; 
INFY,MOMENTUM,50.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC|BEAR|VOLATILE,LOW,0.0,1.1203,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,12.5,REJECT,No institutional match; Weak event validation; Weak family score; 
PERSISTENT,MOMENTUM,50.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC|BEAR|VOLATILE,LOW,0.0,1.1203,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,12.5,REJECT,No institutional match; Weak event validation; Weak family score; 
RELIANCE,MOMENTUM,50.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,12.5,REJECT,No institutional match; Weak event validation; Weak family score; 
RVNL,MOMENTUM,50.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,12.5,REJECT,No institutional match; Weak event validation; Weak family score; 
TCS,MOMENTUM,50.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,12.5,REJECT,No institutional match; Weak event validation; Weak family score; 
NVDA,MOMENTUM,48.0,MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM|SIDEWAYS|VOLATILE,LOW,0.0,-1.2953,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,12.0,REJECT,No institutional match; Weak event validation; Weak family score; 
AMZN,MOMENTUM,45.0,MOMENTUM|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,MOMENTUM|SIDEWAYS|NORMAL,LOW,0.0,-0.9144,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,11.25,REJECT,No institutional match; Weak event validation; Weak family score; 
HD,MOMENTUM,45.0,MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM|SIDEWAYS|VOLATILE,LOW,0.0,-1.2953,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,11.25,REJECT,No institutional match; Weak event validation; Weak family score; 
CDSL,MOMENTUM,45.0,MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM|SIDEWAYS|VOLATILE,LOW,0.0,-1.2953,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,11.25,REJECT,No institutional match; Weak event validation; Weak family score; 
IREDA,MOMENTUM,45.0,MOMENTUM|BEAR|NORMAL|BULL|VIX_ELEVATED,MOMENTUM|BEAR|NORMAL,MEDIUM,0.0,0.7074,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,11.25,REJECT,No institutional match; Weak event validation; Weak family score; 
IRFC,MOMENTUM,45.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,11.25,REJECT,No institutional match; Weak event validation; Weak family score; 
MSFT,OVERSOLD,30.0,OVERSOLD|BEAR|NORMAL|BULL|VIX_ELEVATED,OVERSOLD|BEAR|NORMAL,LOW,0.0,-0.0233,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,7.5,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
SAIL,OVERSOLD,25.0,MOMENTUM|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,MOMENTUM|SIDEWAYS|NORMAL,LOW,0.0,-0.9144,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,6.25,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
ICICIBANK,OVERBOUGHT,15.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,3.75,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
MA,NONE,10.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,2.5,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
BTC-USD,NONE,10.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC|BEAR|VOLATILE,LOW,0.0,1.1203,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,2.5,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
COCHINSHIP,NONE,10.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC|BEAR|VOLATILE,LOW,0.0,1.1203,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,2.5,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
GS,NONE,8.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,2.0,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
SPY,NONE,8.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,2.0,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
BSE,NONE,8.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,2.0,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
IDEA,NONE,8.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,2.0,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
LT,NONE,8.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,2.0,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
GLD,NONE,5.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,1.25,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
V,NONE,5.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,1.25,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
WMT,NONE,5.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,1.25,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
BHARTIARTL,NONE,5.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,1.25,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
HDFCBANK,NONE,5.0,MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM|SIDEWAYS|VOLATILE,LOW,0.0,-1.2953,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,1.25,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
KPITTECH,NONE,5.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,1.25,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
NMDC,NONE,5.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,1.25,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
