Ticker,LatestSignal,LatestRegime,LatestVolatility,LatestFinalScore,LivePattern,LivePatternSignal,LivePatternRegime,LiveTrustLevel,InstitutionalPattern,TradeDecision,TradeReason,TradeFinalScore,SignalMismatch,RegimeMismatch,PatternMismatch,AuditStatus
NOC,PANIC,BEAR,VOLATILE,60.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,LOW,,,,,False,False,False,OK
NVDA,NONE,SIDEWAYS,NORMAL,5.0,NONE|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,NONE,SIDEWAYS,UNTRUSTED,,,,,False,False,False,OK
QQQ,NONE,BULL,NORMAL,8.0,NONE|BULL|NORMAL|BULL|VIX_ELEVATED,NONE,BULL,UNTRUSTED,,,,,False,False,False,OK
RKLB,PANIC,HIGH_VOLATILITY,VOLATILE,65.0,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,PANIC,HIGH_VOLATILITY,HIGH,,WATCH,Cross-asset risk is CAUTIOUS. Paper trade only.,65.0,False,False,False,OK
RTX,PANIC,SIDEWAYS,VOLATILE,55.0,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,HIGH,,,,,False,False,False,OK
SLV,PANIC,SIDEWAYS,NORMAL,55.0,PANIC|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,HIGH,,,,,False,False,False,OK
SPY,NONE,BULL,NORMAL,8.0,NONE|BULL|NORMAL|BULL|VIX_ELEVATED,NONE,BULL,UNTRUSTED,,,,,False,False,False,OK
TSLA,MOMENTUM,SIDEWAYS,NORMAL,45.0,MOMENTUM|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,MOMENTUM,SIDEWAYS,LOW,,,,,False,False,False,OK
USO,PANIC,SIDEWAYS,VOLATILE,55.0,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,HIGH,,,,,False,False,False,OK
V,NONE,SIDEWAYS,NORMAL,5.0,NONE|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,NONE,SIDEWAYS,UNTRUSTED,,,,,False,False,False,OK
WMT,NONE,SIDEWAYS,NORMAL,5.0,NONE|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,NONE,SIDEWAYS,UNTRUSTED,,,,,False,False,False,OK
XOM,NONE,SIDEWAYS,NORMAL,5.0,NONE|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,NONE,SIDEWAYS,UNTRUSTED,,,,,False,False,False,OK
^VIX,MOMENTUM,HIGH_VOLATILITY,VOLATILE,55.0,MOMENTUM|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,HIGH_VOLATILITY,HIGH,,,,,False,False,False,OK
BEL,PANIC,SIDEWAYS,NORMAL,55.0,PANIC|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,HIGH,,,,,False,False,False,OK
BHARTIARTL,NONE,SIDEWAYS,NORMAL,5.0,NONE|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,NONE,SIDEWAYS,UNTRUSTED,,,,,False,False,False,OK
BSE,PANIC,BULL,VOLATILE,58.0,PANIC|BULL|VOLATILE|BULL|VIX_ELEVATED,PANIC,BULL,INSTITUTIONAL,,,,,False,False,False,OK
BTC-USD,PANIC,BEAR,VOLATILE,60.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,LOW,,,,,False,False,False,OK
CDSL,PANIC,SIDEWAYS,NORMAL,55.0,PANIC|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,HIGH,,,,,False,False,False,OK
COCHINSHIP,NONE,BEAR,NORMAL,10.0,NONE|BEAR|NORMAL|BULL|VIX_ELEVATED,NONE,BEAR,UNTRUSTED,,,,,False,False,False,OK
ETH-USD,PANIC,HIGH_VOLATILITY,VOLATILE,65.0,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,PANIC,HIGH_VOLATILITY,HIGH,,,,,False,False,False,OK
HAL,NONE,SIDEWAYS,NORMAL,5.0,NONE|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,NONE,SIDEWAYS,UNTRUSTED,,,,,False,False,False,OK
HDFCBANK,NONE,SIDEWAYS,NORMAL,5.0,NONE|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,NONE,SIDEWAYS,UNTRUSTED,,,,,False,False,False,OK
ICICIBANK,OVERBOUGHT,SIDEWAYS,NORMAL,15.0,OVERBOUGHT|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,OVERBOUGHT,SIDEWAYS,LOW,,,,,False,False,False,OK
IDEA,NONE,BULL,NORMAL,8.0,NONE|BULL|NORMAL|BULL|VIX_ELEVATED,NONE,BULL,UNTRUSTED,,NO_TRADE,Low sample size. Not enough evidence. Avoid for now.,8.0,False,False,False,OK
INFY,PANIC,BEAR,VOLATILE,60.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,LOW,,,,,False,False,False,OK
IREDA,PANIC,BEAR,VOLATILE,60.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,LOW,,WATCH,Cross-asset risk is CAUTIOUS. Paper trade only.,60.0,False,False,False,OK
IRFC,PANIC,BEAR,VOLATILE,60.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,LOW,,WATCH,Cross-asset risk is CAUTIOUS. Paper trade only.,60.0,False,False,False,OK
KPITTECH,PANIC,BEAR,VOLATILE,60.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,LOW,,,,,False,False,False,OK
LT,NONE,BULL,NORMAL,8.0,NONE|BULL|NORMAL|BULL|VIX_ELEVATED,NONE,BULL,UNTRUSTED,,,,,False,False,False,OK
NMDC,PANIC,SIDEWAYS,VOLATILE,55.0,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,HIGH,,,,,False,False,False,OK
PERSISTENT,NONE,BEAR,NORMAL,10.0,NONE|BEAR|NORMAL|BULL|VIX_ELEVATED,NONE,BEAR,UNTRUSTED,,,,,False,False,False,OK
RELIANCE,NONE,BEAR,NORMAL,10.0,NONE|BEAR|NORMAL|BULL|VIX_ELEVATED,NONE,BEAR,UNTRUSTED,,,,,False,False,False,OK
RVNL,PANIC,BEAR,VOLATILE,60.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,LOW,,WATCH,Cross-asset risk is CAUTIOUS. Paper trade only.,60.0,False,False,False,OK
SAIL,PANIC,SIDEWAYS,VOLATILE,55.0,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,HIGH,,,,,False,False,False,OK
SBIN,OVERBOUGHT,BULL,NORMAL,18.0,OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED,OVERBOUGHT,BULL,INSTITUTIONAL,OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED,,,,False,False,False,OK
SUZLON,NONE,BULL,NORMAL,8.0,NONE|BULL|NORMAL|BULL|VIX_ELEVATED,NONE,BULL,UNTRUSTED,,NO_TRADE,Low sample size. Not enough evidence. Avoid for now.,8.0,False,False,False,OK
TCS,PANIC,BEAR,VOLATILE,60.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,LOW,,,,,False,False,False,OK
YESBANK,NONE,BULL,NORMAL,8.0,NONE|BULL|NORMAL|BULL|VIX_ELEVATED,NONE,BULL,UNTRUSTED,,NO_TRADE,Low sample size. Not enough evidence. Avoid for now.,8.0,False,False,False,OK
